Constituency,County,URL
Kiharu,Murang'a,https://forms.iebc.or.ke/form/formB/0211060000000/uploaded/1_0211060000000_34_B_20220812_190430.pdf
Maragwa,Murang'a,https://forms.iebc.or.ke/form/formB/0211080000000/uploaded/1_0211080000000_34_B_20220811_155201.pdf
Mathioya,Murang'a,https://forms.iebc.or.ke/form/formB/0211050000000/uploaded/1_0211050000000_34_B_20220811_151950.pdf
Dagoretti North,Nairobi City,https://forms.iebc.or.ke/form/formB/0472750000000/uploaded/1_0472750000000_34_B_20220813_111026.pdf
Dagoretti South,Nairobi City,https://forms.iebc.or.ke/form/formB/0472760000000/uploaded/1_0472760000000_34_B_20220812_155624.pdf
Embakasi Central,Nairobi City,https://forms.iebc.or.ke/form/formB/0472840000000/uploaded/1_0472840000000_34_B_20220812_132830.pdf
Embakasi East,Nairobi City,https://forms.iebc.or.ke/form/formB/0472850000000/uploaded/1_0472850000000_34_B_20220814_225029.pdf
Embakasi North,Nairobi City,https://forms.iebc.or.ke/form/formB/0472830000000/uploaded/1_0472830000000_34_B_20220811_221725.pdf
Embakasi South,Nairobi City,https://forms.iebc.or.ke/form/formB/0472820000000/uploaded/1_0472820000000_34_B_20220814_095417.pdf
Embakasi West,Nairobi City,https://forms.iebc.or.ke/form/formB/0472860000000/uploaded/1_0472860000000_34_B_20220811_161622.pdf
Kamukunji,Nairobi City,https://forms.iebc.or.ke/form/formB/0472880000000/uploaded/1_0472880000000_34_B_20220812_193023.pdf
Kasarani,Nairobi City,https://forms.iebc.or.ke/form/formB/0472800000000/uploaded/1_0472800000000_34_B_20220811_172941.pdf
Kibra,Nairobi City,https://forms.iebc.or.ke/form/formB/0472780000000/uploaded/1_0472780000000_34_B_20220812_180613.pdf
Langata,Nairobi City,https://forms.iebc.or.ke/form/formB/0472770000000/uploaded/1_0472770000000_34_B_20220813_120312.pdf
Makadara,Nairobi City,https://forms.iebc.or.ke/form/formB/0472870000000/uploaded/1_0472870000000_34_B_20220812_015236.pdf
Mathare,Nairobi City,https://forms.iebc.or.ke/form/formB/0472900000000/uploaded/1_0472900000000_34_B_20220812_051432.pdf
Roysambu,Nairobi City,https://forms.iebc.or.ke/form/formB/0472790000000/uploaded/1_0472790000000_34_B_20220812_120338.pdf
Ruaraka,Nairobi City,https://forms.iebc.or.ke/form/formB/0472810000000/uploaded/1_0472810000000_34_B_20220811_183734.pdf
